visit_id,store_id,perturbation,R_base_baseline,R_base_perturbed,R_base_swing_pct,R_inv_baseline,R_inv_perturbed,R_inv_swing_pct,triangulation_ratio_baseline,triangulation_ratio_perturbed,triangulation_status_flipped
MART01_4222026_60000PM,MART01,daypart_compressed,232772.57142857145,246880.00000000003,6.060606060606063,101666.66666666667,101666.66666666667,,0.4367639453511132,0.41180600561676384,False
MART01_4232026_121500PM,MART01,daypart_compressed,221461.33333333334,216646.95652173914,-2.173913043478263,101666.66666666667,101666.66666666667,,0.4590718620556786,0.4692734589902493,False
MART02_4232026_23000PM,MART02,daypart_compressed,100608.0,92665.26315789473,-7.894736842105267,92500.0,92500.0,,0.9194099872773537,0.9982165576154126,False
KIR02_4232026_80000PM,KIR02,daypart_compressed,161609.14285714284,148850.52631578944,-7.894736842105276,220000.0,220000.0,,1.3613091197103417,1.477992758542657,True
KIR01_4232026_63000PM,KIR01,daypart_compressed,123325.71428571428,130800.00000000001,6.060606060606082,119333.33333333334,119333.33333333334,,0.967627343774133,0.9123343527013251,False
PAN01_4232026_50000PM,PAN01,daypart_compressed,64450.285714285725,68356.36363636365,6.06060606060606,76666.66666666667,76666.66666666667,,1.1895473513730774,1.1215732170089014,False
PAN02_4242026_93000AM,PAN02,daypart_compressed,32832.0,32832.0,0.0,40000.0,40000.0,,1.2183235867446394,1.2183235867446394,False
MART03_4242026_60000PM,MART03,daypart_compressed,264880.0,280933.3333333334,6.060606060606076,147833.33333333334,147833.33333333334,,0.5581143662539012,0.5262221167536781,False
KIR03_4222026_30000PM,KIR03,daypart_compressed,213942.85714285713,197052.6315789474,-7.894736842105249,206666.6666666667,206666.6666666667,,0.9659900284900287,1.0487891737891737,False
PAN03_4222026_70000PM,PAN03,daypart_compressed,43003.42857142857,45609.69696969697,6.060606060606054,55833.333333333336,55833.333333333336,,1.2983460897912902,1.2241548846603594,False
MART04_4222026_100000AM,MART04,daypart_compressed,86847.99999999999,84960.0,-2.1739130434782443,82833.33333333334,82833.33333333334,,0.9537736428395974,0.9749686126804772,False
MART01_4222026_60000PM,MART01,daypart_steepened,232772.57142857145,220190.2702702703,-5.405405405405403,101666.66666666667,101666.66666666667,,0.4367639453511132,0.4617218850854625,False
